Numeric counter for order in THOMAS data from 93rd - 110th Congresses,"Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Second-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,"1 = subcommittee chair (or vice chair), according to Almanac of American Politic",1 = African American,1 = Latino/a,votepct squared,"1 = Member of Appropriation, Rules, or Ways and Means","1 = committee chair, according to Almanac of American Politics",1 = served in state legislature,state_leg * state legislature professionalism,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Absolute distance from floor median (DW-NOMINATE),Absolute distance from majority party median (DW-NOMINATE),"Dummy = 1 if in first partial or full term, nonconsecutive","Seniority, number of terms served counting current",Number of members in Party (0 = Indep),LES Classic Rank within Party,"100=Dem, 200=Rep, Other",Name in bioguide,Indicator for member in bioguide,Year born,"Year died, as of 2020",Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number of commemorative standalone bills receiving action beyond committee,Number of commemorative standalone bills passing House,Number of commemorative standalone bills becoming law,Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number of substantive standalone bills receiving action beyond committee,Number of substantive standalone bills passing House,Number of substantive standalone bills becoming law,Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number of substantive and significant standalone bills receiving action beyond c,Number of substantive and significant standalone bills passing House,Number of substantive and significant standalone bills becoming law,LES 1.0,Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number commem bills with action beyond committee (inc in other leg vehicles),Number commemorative bills passing House (inc in other leg vehicles),Number commemorative bills becoming law (inc in other leg vehicles),Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number substantive bills with action beyond committee (inc in other leg vehicles,Number substantive bills passing House (inc in other leg vehicles),Number substantive bills becoming law (inc in other leg vehicles),Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number S&S bills with action beyond committee (inc in other leg vehicles),Number S&S bills passing House (inc in other leg vehicles),Number S&S bills becoming law (inc in other leg vehicles),LES 2.0,LES 2.0 Benchmarks,LES2.0/Benchmark2.0,"1 = Below, 2 = Meets, 3 = Exceeds LES 2.0 Benchmarks",Total number of bills sponsored by this member,Total bills passing House (inc in other leg vehicles),Total number of bills receiving action in committee,Total bills receiving action beyond committee (inc in other leg vehicles),Total bills becoming law (inc in other leg vehicles),Total number of bills sponsored by this member,Total number of standalone bills passing House,Total number of bills receiving action in committee,Total number of standalone bills receiving action beyond committee,Total number of standalone bills becoming law,"Benchmark score (Classic) based on majority, seniority, chairs",LES/benchmark (Classic),"1 = Below, 2 = Meets, 3 = Above, Based on Classic LES",Lagged LES 1.0,Lagged LES 2.0,LES 2.0 Rank within Party
10710,"Babin, Brian",21551,117,2021,TX,36,0,2014,0,74,1,0,36,0,0,0,0,5476,0,0,0,0,0,0,0,1,1,0,4,222,176,200,"BABIN, Brian",B001291,1948,,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0.103698,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0.103698,0.578841,0.179148,1,11,0,0,0,0,11,0,0,0,0,0.513593,0.201907,1,1,,184
10711,"Bacon, Don",21701,117,2021,NE,2,0,2016,0,51,0,0,3,0,0,0,0,2601,0,0,0,0,0,0,0,1,1,0,3,222,34,200,"BACON, Donald J.",B001298,1963,,1,1,1,1,1,49,1,1,1,0,0,0,0,0,0,0.914924,1,1,1,1,1,49,1,17,17,16,0,0,0,0,0,6.136785,0.572047,10.727764,3,50,18,2,18,17,50,2,2,2,1,0.494177,1.851410,3,1,,1
10712,"Baird, James",21903,117,2021,IN,4,0,2018,0,67,0,0,9,0,0,0,0,4489,0,0,1,0,0,0,0,1,1,0,2,222,200,200,"BAIRD, James",B001307,1945,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.056563,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.056563,0.565253,0.100066,1,6,0,0,0,0,6,0,0,0,0,0.474761,0.119139,1,0,,202
10713,"Balderson, Troy",21759,117,2021,OH,12,0,2018,0,55,0,0,16,0,0,0,0,3025,0,0,1,0,0,0,0,1,1,0,2,222,143,200,"BALDERSON, Troy",B001306,1962,,2,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0.238593,2,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0.153798,0.565253,0.272087,1,9,1,1,1,1,9,1,1,1,1,0.474761,0.502553,2,0,,170
10714,"Banks, Jim",21702,117,2021,IN,3,0,2016,0,68,1,0,9,0,0,0,0,4624,0,0,1,0,0,0,0,1,1,0,3,222,43,200,"BANKS, James E.",B001299,1979,,1,0,1,1,1,42,1,1,1,0,0,0,0,0,0,0.831760,1,0,1,1,1,42,1,1,1,0,0,0,0,0,0,0.704572,0.572047,1.231668,2,43,2,1,2,1,43,2,1,2,1,0.494177,1.683122,3,1,,63
10715,"Barr, Andy",21333,117,2021,KY,6,0,2012,0,57,0,0,6,0,0,0,0,3249,0,0,0,0,0,0,0,1,1,0,5,222,19,200,"BARR, Garland H. (Andy) IV",B001282,1973,,0,0,0,0,0,21,2,2,2,1,0,0,0,0,0,1.324408,0,0,0,0,0,21,2,3,3,2,0,0,0,0,0,1.192356,0.585635,2.036005,3,21,3,2,3,2,21,2,2,2,1,0.533009,2.484773,3,2,,20
10716,"Barragan, Nanette",21703,117,2021,CA,44,1,2016,1,68,-1,0,53,0,1,0,1,4624,0,0,0,0,1,0,0,0,0,0,3,232,73,100,"BARRAGÃN, Nanette Diaz",B001300,1976,,1,1,1,1,1,24,2,3,2,1,0,0,0,0,0,1.601953,1,1,1,1,1,24,2,3,2,1,0,0,0,0,0,1.038137,1.444895,0.718486,2,25,3,3,4,2,25,3,3,4,2,1.415783,1.131496,2,1,,131
10717,"Bass, Karen",21110,117,2021,CA,37,1,2010,1,86,-1,0,53,0,1,1,0,7396,0,0,1,1,1,0,0,0,0,0,6,232,31,100,"BASS, Karen",B001270,1953,,1,0,0,0,0,24,3,3,2,0,3,2,3,3,0,2.535603,1,0,0,0,0,24,3,3,2,0,3,2,3,3,0,2.183798,1.465278,1.490365,2,28,5,5,6,0,28,5,5,6,0,1.474031,1.720183,3,2,,38
10718,"Beatty, Joyce",21352,117,2021,OH,3,1,2012,1,71,0,0,16,0,1,1,0,5041,0,0,1,0,1,0,0,0,0,0,5,232,135,100,"BEATTY, Joyce",B001281,1950,,0,0,0,0,0,21,2,3,2,0,0,0,0,0,0,0.841073,0,0,0,0,0,21,2,4,3,2,0,0,0,0,0,1.258249,1.458483,0.862710,2,21,3,2,4,2,21,2,2,3,0,1.454615,0.578210,2,1,,106
10719,"Bentz, Cliff",22101,117,2021,OR,2,0,2020,0,60,0,0,5,0,0,0,0,3600,0,0,1,0,0,0,0,1,1,1,1,222,113,200,"BENTZ, Cliff",B000668,1952,,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0.338841,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0.296447,0.558459,0.530831,2,6,1,1,1,0,6,1,1,1,0,0.455345,0.744142,2,,,134
10720,"Bera, Ami",21304,117,2021,CA,7,1,2012,0,57,0,0,53,0,1,0,0,3249,0,0,0,0,1,0,0,0,0,0,5,232,121,100,"BERA, Ami",B001287,1965,,0,0,0,0,0,23,3,4,2,0,0,0,0,0,0,1.024345,0,0,0,0,0,23,3,5,4,2,0,0,0,0,0,1.516988,1.458483,1.040113,2,23,4,3,5,2,23,2,3,4,0,1.454615,0.704204,2,1,,80
10721,"Bergman, Jack",21704,117,2021,MI,1,0,2016,0,62,0,0,14,0,0,0,0,3844,0,0,0,0,0,0,0,1,1,0,3,222,47,200,"BERGMAN, John",B001301,1947,,2,0,1,1,1,18,2,2,1,0,0,0,0,0,0,0.771813,2,0,1,1,1,18,2,3,2,2,0,0,0,0,0,1.146588,0.572047,2.004359,3,20,3,2,4,3,20,2,2,3,1,0.494177,1.561815,3,1,,24
10722,"Beyer, Don",21554,117,2021,VA,8,1,2014,0,76,0,0,11,0,1,0,0,5776,1,0,0,0,1,0,0,0,0,0,4,232,106,100,"BEYER, Donald Sternoff Jr.",B001292,1950,,2,1,1,1,0,43,1,1,1,0,1,0,1,1,0,1.159540,2,1,1,1,1,43,1,5,5,4,1,0,1,1,1,2.757806,1.451689,1.899722,3,46,7,2,7,6,46,3,2,3,0,1.435199,0.807930,2,1,,23
10723,"Bice, Stephanie",22102,117,2021,OK,5,0,2020,1,52,0,0,5,0,0,0,0,2704,0,0,1,0,0,0,0,1,1,1,1,222,86,200,"BICE, Stephanie I.",B000740,1973,,1,1,1,0,0,17,1,1,1,0,0,0,0,0,0,0.477308,1,1,1,1,1,17,1,1,1,0,0,0,0,0,0,0.486068,0.558459,0.870375,2,18,2,2,2,1,18,1,2,2,0,0.455345,1.048236,2,,,96
10724,"Biggs, Andy",21705,117,2021,AZ,5,0,2016,0,59,1,-1,9,0,0,0,0,3481,0,0,1,0,0,0,0,1,1,0,3,222,65,200,"BIGGS, Andrew S.",B001302,1958,,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0.622189,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0.622189,0.572047,1.087654,2,66,0,0,0,0,66,0,0,0,0,0.494177,1.259041,2,1,,72
10725,"Bilirakis, Gus",20758,117,2021,FL,12,0,2006,0,63,0,0,27,0,0,0,0,3969,0,0,1,0,0,0,0,1,1,0,8,222,16,200,"BILIRAKIS, Gus",B001257,1963,,0,0,0,0,0,27,5,6,3,0,0,0,0,0,0,1.508750,0,0,0,0,0,27,5,8,6,4,0,0,0,0,0,2.460962,0.606017,4.060875,3,27,6,5,8,4,27,3,5,6,0,0.591258,2.551762,3,2,,7
10726,"Bishop, Dan",21986,117,2021,NC,9,0,2019,0,56,1,0,13,0,0,0,0,3136,0,0,1,0,0,0,0,1,1,0,2,222,67,200,"BISHOP, Dan",B001311,1964,,0,0,0,0,0,14,1,2,2,0,0,0,0,0,0,0.610666,0,0,0,0,0,14,1,2,2,0,0,0,0,0,0,0.525878,0.565253,0.930341,2,14,2,1,2,0,14,2,1,2,0,0.474761,1.286260,2,1,,89
10727,"Bishop, Sanford",29339,117,2021,GA,2,1,1992,0,59,0,0,14,0,1,1,0,3481,1,0,1,0,1,0,0,0,0,0,15,232,195,100,"BISHOP, Sanford Dixon, Jr.",B000490,1947,,1,0,1,1,1,7,0,2,0,0,0,0,0,0,0,0.376626,1,0,1,1,1,7,0,2,0,0,0,0,0,0,0,0.266523,1.526424,0.174606,1,8,1,0,3,1,8,1,0,3,1,1.648777,0.228428,1,1,,208
10728,"Blumenauer, Earl",29588,117,2021,OR,3,1,1996,0,73,0,-1,5,0,1,0,0,5329,1,0,1,0,1,0,0,0,0,0,13,232,11,100,"BLUMENAUER, Earl",B000574,1948,,0,0,0,0,0,52,2,0,0,0,4,0,4,4,2,4.556154,0,0,0,0,0,52,2,0,0,0,4,0,4,4,2,2.690686,1.512836,1.778570,3,56,4,2,4,2,56,4,2,4,2,1.609945,2.830006,3,1,,24
10729,"Blunt Rochester, Lisa",21706,117,2021,DE,1,1,2016,1,58,0,0,1,0,0,1,0,3364,0,0,0,0,1,0,0,0,0,0,3,232,108,100,"BLUNT ROCHESTER, Lisa",B001303,1962,,0,0,0,0,0,37,3,4,2,0,0,0,0,0,0,1.156325,0,0,0,0,0,37,3,5,3,2,0,0,0,0,0,1.560846,1.034297,1.509089,3,37,3,3,5,2,37,2,3,4,0,0.982299,1.177161,2,2,,75
10730,"Boebert, Lauren",22103,117,2021,CO,3,0,2020,1,51,1,-1,7,0,0,0,0,2601,0,0,0,0,0,0,0,1,1,1,1,222,120,200,"BOEBERT, Lauren",B000825,1986,,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0.292240,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0.292240,0.558459,0.523298,2,31,0,0,0,0,31,0,0,0,0,0.455345,0.641800,2,,,136
10731,"Bonamici, Suzanne",21198,117,2021,OR,1,1,2012,1,65,0,0,5,0,1,0,0,4225,0,0,1,0,1,0,0,0,0,0,6,232,97,100,"BONAMICI, Suzanne",B001278,1954,,0,0,0,0,0,32,2,1,1,0,1,1,1,1,0,1.253228,0,0,0,0,0,32,2,1,1,1,1,1,1,1,0,1.306349,1.465278,0.891537,2,33,2,3,2,1,33,2,3,2,0,1.474031,0.850205,2,2,,101
10732,"Bost, Mike",21519,117,2021,IL,12,0,2014,0,60,0,0,18,0,0,0,0,3600,0,0,1,0,0,0,0,0,1,0,4,222,3,200,"BOST, Mike",B001295,1960,,1,0,0,0,0,27,9,8,5,2,0,0,0,0,0,3.370697,1,0,0,0,0,27,9,9,6,4,0,0,0,0,0,2.872224,0.578841,4.962024,3,28,6,9,9,4,28,5,9,8,2,0.513593,6.562970,3,1,,5
10733,"Bourdeaux, Carolyn",22104,117,2021,GA,7,1,2020,1,51,0,0,14,0,0,0,0,2601,0,0,0,0,1,0,0,0,0,1,1,232,129,100,"BOURDEAUX, Carolyn",B001312,1970,,0,0,0,0,0,15,0,1,1,1,0,0,0,0,0,0.899695,0,0,0,0,0,15,0,2,2,2,0,0,0,0,0,0.810038,1.020709,0.793603,2,15,2,0,2,2,15,1,0,1,1,0.943467,0.953606,2,,,153
10734,"Bowman, Jamaal",22105,117,2021,NY,16,1,2020,0,84,0,-1,27,0,1,1,0,7056,0,0,0,0,1,0,0,0,0,1,1,232,225,100,"BOWMAN, Jamaal",B001223,1976,,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0.131979,0,0,0,0,0,14,0,2,2,2,0,0,0,0,0,0.800611,1.431307,0.559356,2,14,2,0,2,2,14,0,0,0,0,1.376950,0.095849,1,,,154
10735,"Boyle, Brendan",21548,117,2021,PA,2,1,2014,0,73,0,0,18,0,0,0,0,5329,1,0,1,0,1,0,0,0,0,0,4,232,219,100,"BOYLE, Brendan Francis",B001296,1977,,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0.179115,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0.179115,1.041091,0.172045,1,19,0,0,0,0,19,0,0,0,0,1.001715,0.178808,1,0,,221
10736,"Brady, Kevin",29760,117,2021,TX,8,0,1996,0,73,1,0,36,0,0,0,0,5329,1,0,1,0,0,0,0,1,1,0,13,222,172,200,"BRADY, Kevin Patrick",B000755,1955,,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0.113125,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0.113125,0.639988,0.176762,1,12,0,0,0,0,12,0,0,0,0,0.688339,0.164345,1,0,,181
10737,"Brooks, Mo",21193,117,2021,AL,5,0,2010,0,96,1,0,7,0,0,0,0,9216,0,0,1,0,0,0,0,1,1,0,6,222,166,200,"BROOKS, Mo",B001274,1954,,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0.131979,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0.131979,0.592429,0.222777,1,14,0,0,0,0,14,0,0,0,0,0.552426,0.238909,1,0,,174
10738,"Brown, Anthony",21707,117,2021,MD,4,1,2016,0,80,0,0,8,0,0,1,0,6400,0,0,1,0,1,0,0,0,0,0,3,232,174,100,"BROWN, Anthony Gregory",B001304,1961,,2,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0.552597,2,0,0,0,0,40,2,2,2,2,0,0,0,0,0,1.221228,1.034297,1.180733,2,42,2,2,2,2,42,0,2,0,0,0.982299,0.562555,2,1,,113
10739,"Brown, Shontel",22161,117,2021,OH,11,1,2021,1,79,-1,0,16,0,0,1,0,6241,0,0,0,0,1,0,0,0,0,1,1,232,226,100,"BROWN, Shontel",B001313,1975,,1,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0.114904,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0.142485,1.020709,0.139595,1,7,1,1,1,1,7,1,1,1,0,0.943467,0.121789,1,,,225
10740,"Brownley, Julia",21308,117,2021,CA,26,1,2012,1,61,0,0,53,0,1,0,0,3721,0,0,1,1,1,0,0,0,0,0,5,232,20,100,"BROWNLEY, Julia",B001285,1952,,4,2,3,3,2,49,12,8,1,0,1,1,1,1,0,3.206513,4,2,3,3,2,49,12,8,3,2,1,1,1,1,0,3.349531,1.458483,2.296585,3,54,7,15,12,4,54,5,15,12,2,1.454615,2.204372,3,2,,16
10741,"Buchanan, Vern",20709,117,2021,FL,16,0,2006,0,56,0,0,27,0,0,0,0,3136,1,0,0,0,0,0,0,1,1,0,8,222,18,200,"BUCHANAN, Vernon G.",B001260,1951,,0,0,0,0,0,26,2,2,2,1,0,0,0,0,0,1.371543,0,0,0,0,0,26,2,2,2,1,0,0,0,0,0,0.905176,0.606017,1.493647,2,26,2,2,2,1,26,2,2,2,1,0.591258,2.319703,3,0,,45
10742,"Buck, Ken",21510,117,2021,CO,4,0,2014,0,60,1,0,7,0,0,0,0,3600,0,0,0,0,0,0,0,1,1,0,4,222,77,200,"BUCK, Kenneth Robert",B001297,1959,,0,0,0,0,0,21,2,2,0,0,0,0,0,0,0,0.526805,0,0,0,0,0,21,2,3,2,2,0,0,0,0,0,1.104235,0.578841,1.907665,3,21,2,2,3,2,21,0,2,2,0,0.513593,1.025724,2,0,,31
10743,"Bucshon, Larry",21132,117,2021,IN,8,0,2010,0,67,0,0,9,0,0,0,0,4489,0,0,0,0,0,0,0,1,1,0,6,222,180,200,"BUCSHON, Larry",B001275,1962,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.094271,0,0,0,0,0,10,0,3,3,3,0,0,0,0,0,1.097218,0.592429,1.852065,3,10,3,0,3,3,10,0,0,0,0,0.552426,0.170649,1,1,,32
10744,"Budd, Ted",21708,117,2021,NC,13,0,2016,0,68,1,0,13,0,0,0,0,4624,0,0,0,0,0,0,0,1,1,0,3,222,90,200,"BUDD, Theodore Paul",B001305,1971,,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0.443074,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0.443074,0.572047,0.774541,2,47,0,0,0,0,47,0,0,0,0,0.494177,0.896590,2,1,,102
10745,"Burchett, Tim",21905,117,2021,TN,2,0,2018,0,68,1,0,9,0,0,0,0,4624,0,0,1,0,0,0,0,1,1,0,2,222,107,200,"BURCHETT, Timothy",B001309,1964,,1,0,0,0,0,20,0,1,1,0,0,0,0,0,0,0.386835,1,0,0,0,0,20,0,1,1,0,0,0,0,0,0,0.344441,0.565253,0.609358,2,21,1,0,1,0,21,1,0,1,0,0.474761,0.814800,2,0,,126
