Numeric counter for order in THOMAS data from 93rd - 110th Congresses,"Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Second-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,"1 = subcommittee chair (or vice chair), according to Almanac of American Politic",1 = African American,1 = Latino/a,votepct squared,"1 = Member of Appropriation, Rules, or Ways and Means","1 = committee chair, according to Almanac of American Politics",1 = served in state legislature,state_leg * state legislature professionalism,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Absolute distance from floor median (DW-NOMINATE),Absolute distance from majority party median (DW-NOMINATE),"Dummy = 1 if in first partial or full term, nonconsecutive","Seniority, number of terms served counting current",Number of members in Party (0 = Indep),LES Classic Rank within Party,"100=Dem, 200=Rep, Other",Name in bioguide,Indicator for member in bioguide,Year born,"Year died, as of 2020",Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number of commemorative standalone bills receiving action beyond committee,Number of commemorative standalone bills passing House,Number of commemorative standalone bills becoming law,Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number of substantive standalone bills receiving action beyond committee,Number of substantive standalone bills passing House,Number of substantive standalone bills becoming law,Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number of substantive and significant standalone bills receiving action beyond c,Number of substantive and significant standalone bills passing House,Number of substantive and significant standalone bills becoming law,LES 1.0,Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number commem bills with action beyond committee (inc in other leg vehicles),Number commemorative bills passing House (inc in other leg vehicles),Number commemorative bills becoming law (inc in other leg vehicles),Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number substantive bills with action beyond committee (inc in other leg vehicles,Number substantive bills passing House (inc in other leg vehicles),Number substantive bills becoming law (inc in other leg vehicles),Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number S&S bills with action beyond committee (inc in other leg vehicles),Number S&S bills passing House (inc in other leg vehicles),Number S&S bills becoming law (inc in other leg vehicles),LES 2.0,LES 2.0 Benchmarks,LES2.0/Benchmark2.0,"1 = Below, 2 = Meets, 3 = Exceeds LES 2.0 Benchmarks",Total number of bills sponsored by this member,Total bills passing House (inc in other leg vehicles),Total number of bills receiving action in committee,Total bills receiving action beyond committee (inc in other leg vehicles),Total bills becoming law (inc in other leg vehicles),Total number of bills sponsored by this member,Total number of standalone bills passing House,Total number of bills receiving action in committee,Total number of standalone bills receiving action beyond committee,Total number of standalone bills becoming law,"Benchmark score (Classic) based on majority, seniority, chairs",LES/benchmark (Classic),"1 = Below, 2 = Meets, 3 = Above, Based on Classic LES",Lagged LES 1.0,Lagged LES 2.0,LES 2.0 Rank within Party
11184,"Blumenauer, Earl",29588,118,2023,OR,3,1,1996,0,70,0,-1,6,0,0,0,0,4900,1,0,1,0,0,0,0,1,1,0,14,220,133,100,"BLUMENAUER, Earl",B000574,1948,,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0.285571,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0.285571,0.576631,0.495240,1,33,0,0,0,0,33,0,0,0,0,0.527203,0.541671,2,4.556154,2.690686,136
11185,"Blunt Rochester, Lisa",21706,118,2023,DE,1,1,2016,1,55,0,0,1,0,0,1,0,3025,0,0,0,0,0,0,0,1,1,0,4,220,156,100,"BLUNT ROCHESTER, Lisa",B001303,1962,,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0.224995,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0.224995,0.534528,0.420923,1,26,0,0,0,0,26,0,0,0,0,0.503981,0.446436,1,1.156325,1.560846,158
11186,"Boebert, Lauren",22103,118,2023,CO,3,0,2020,1,50,1,0,8,0,0,0,0,2500,0,0,0,0,1,0,0,1,0,0,2,228,27,200,"BOEBERT, Lauren",B000825,1986,,0,0,0,0,0,23,7,6,3,1,2,2,2,2,0,2.768344,0,0,0,0,0,23,7,6,3,2,2,2,2,2,0,2.617714,1.194025,2.192345,3,25,5,9,8,2,25,5,9,8,1,1.220290,2.268596,3,0.292240,0.292240,26
11187,"Bonamici, Suzanne",21198,118,2023,OR,1,1,2012,1,68,0,0,6,0,0,0,0,4624,0,0,1,0,0,0,0,1,1,0,7,220,30,100,"BONAMICI, Suzanne",B001278,1954,,1,1,1,1,1,53,3,2,1,0,0,0,0,0,0,1.016097,1,1,1,1,1,53,3,2,1,0,0,0,0,0,0,0.934096,0.547159,1.707174,3,54,2,4,3,1,54,2,4,3,1,0.510948,1.988651,3,1.253228,1.306349,37
11188,"Bost, Mike",21519,118,2023,IL,12,0,2014,0,75,0,0,17,0,0,0,0,5625,0,1,1,0,1,0,0,0,0,0,5,228,44,200,"BOST, Mike",B001295,1960,,1,1,1,1,1,32,12,6,2,1,0,0,0,0,0,2.261780,1,1,1,1,1,32,12,6,2,1,0,0,0,0,0,1.860246,2.429646,0.765645,2,33,3,13,7,2,33,3,13,7,2,2.596563,0.871067,2,3.370697,2.872224,66
11189,"Bowman, Jamaal",22105,118,2023,NY,16,1,2020,0,64,0,-1,26,0,0,1,0,4096,0,0,0,0,0,0,0,1,1,0,2,220,202,100,"BOWMAN, Jamaal",B001223,1976,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.077883,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.077883,0.526108,0.148036,1,9,0,0,0,0,9,0,0,0,0,0.499337,0.155973,1,0.131979,0.800611,202
11190,"Boyle, Brendan",21548,118,2023,PA,2,1,2014,0,76,0,0,17,0,0,0,0,5776,0,0,1,0,0,0,0,1,1,0,5,220,17,100,"BOYLE, Brendan Francis",B001296,1977,,1,1,1,1,1,11,2,2,2,1,0,0,0,0,0,1.261888,1,1,1,1,1,11,2,2,2,1,0,0,0,0,0,0.874359,0.538739,1.622974,3,12,3,3,3,2,12,3,3,3,2,0.506303,2.492355,3,0.179115,0.179115,40
11191,"Brecheen, Josh",22303,118,2023,OK,2,0,2022,0,72,1,0,5,0,0,0,0,5184,0,0,1,0,1,0,0,1,0,1,1,228,138,200,"BRECHEEN, Josh",B001317,1979,,0,0,0,0,0,19,1,1,1,1,0,0,0,0,0,0.949133,0,0,0,0,0,19,1,1,1,1,0,0,0,0,0,0.640105,1.189814,0.537987,2,19,1,1,1,1,19,1,1,1,1,1.217968,0.779276,2,,,169
11192,"Brown, Shontel",22161,118,2023,OH,11,1,2021,1,78,0,0,15,0,0,1,0,6084,0,0,0,0,0,0,0,1,1,0,2,220,200,100,"BROWN, Shontel",B001313,1975,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.086537,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.086537,0.526108,0.164484,1,10,0,0,0,0,10,0,0,0,0,0.499337,0.173303,1,0.114904,0.142485,200
11193,"Brownley, Julia",21308,118,2023,CA,26,1,2012,1,55,0,0,52,0,0,0,0,3025,0,0,1,1,0,0,0,0,1,0,6,220,51,100,"BROWNLEY, Julia",B001285,1952,,3,0,1,1,0,48,2,1,1,0,0,0,0,0,0,0.735056,3,0,1,1,0,48,2,1,1,1,0,0,0,0,0,0.984091,0.542949,1.812493,3,51,2,2,2,1,51,2,2,2,0,0.508626,1.445180,2,3.206513,3.349531,32
11194,"Buchanan, Vern",20709,118,2023,FL,16,0,2006,0,62,0,0,28,0,1,0,0,3844,1,0,0,0,1,0,0,0,0,0,9,228,183,200,"BUCHANAN, Vernon G.",B001260,1951,,0,0,0,0,0,38,2,2,0,0,0,0,0,0,0,0.563489,0,0,0,0,0,38,2,2,0,0,0,0,0,0,0,0.556487,1.489642,0.373571,1,38,0,2,2,0,38,0,2,2,0,1.496394,0.376565,1,1.371543,0.905176,187
11195,"Buck, Ken",21510,118,2023,CO,4,0,2014,0,61,1,0,8,0,0,0,0,3721,0,0,0,0,1,0,0,0,0,0,5,228,222,200,"BUCK, Kenneth Robert",B001297,1959,,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0.103844,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0.103844,1.206655,0.086059,1,12,0,0,0,0,12,0,0,0,0,1.227256,0.084615,1,0.526805,1.104235,222
11196,"Bucshon, Larry",21132,118,2023,IN,8,0,2010,0,66,0,0,9,0,0,0,0,4356,0,0,0,0,1,0,0,0,0,0,7,228,39,200,"BUCSHON, Larry",B001275,1962,,0,0,0,0,0,22,5,5,1,1,2,2,2,2,0,2.372251,0,0,0,0,0,22,5,5,1,1,2,2,2,2,0,1.982440,1.215076,1.631536,3,24,3,7,7,1,24,3,7,7,1,1.231901,1.925684,3,0.094271,1.097218,53
11197,"Budzinski, Nikki",22304,118,2023,IL,13,1,2022,1,57,0,0,17,0,0,0,0,3249,0,0,0,0,0,0,0,1,1,1,1,220,149,100,"BUDZINSKI, Nikki",B001315,1977,,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0.247130,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0.243629,0.521898,0.466813,1,15,0,1,1,0,15,0,1,1,0,0.497015,0.497229,1,,,151
11198,"Burchett, Tim",21905,118,2023,TN,2,0,2018,0,68,1,0,9,0,0,0,0,4624,0,0,1,0,1,0,0,0,0,0,3,228,146,200,"BURCHETT, Timothy",B001309,1964,,2,1,1,1,0,24,3,4,2,0,0,0,0,0,0,0.878938,2,1,1,1,0,24,3,5,3,1,0,0,0,0,0,1.252749,1.198235,1.045495,2,26,4,4,6,1,26,3,4,5,0,1.222612,0.718902,2,0.386835,0.344441,109
11199,"Burgess, Michael",20355,118,2023,TX,26,0,2002,0,69,1,0,38,0,1,0,0,4761,1,0,0,0,1,0,0,0,0,0,11,228,100,200,"BURGESS, Michael C.",B001248,1950,,0,0,0,0,0,24,4,4,2,0,1,1,1,1,0,1.352887,0,0,0,0,0,24,4,4,2,0,1,1,1,1,0,1.279107,1.498063,0.853841,2,25,3,5,5,0,25,3,5,5,0,1.501038,0.901301,2,0.612227,0.569833,107
11200,"Burlison, Eric",22305,118,2023,MO,7,0,2022,0,71,1,-1,8,0,0,0,0,5041,0,0,1,0,1,0,0,1,0,1,1,228,200,200,"BURLISON, Eric",B001316,1976,,0,0,0,0,0,21,1,1,1,0,0,0,0,0,0,0.405037,0,0,0,0,0,21,1,1,1,0,0,0,0,0,0,0.388343,1.189814,0.326389,1,21,1,1,1,0,21,1,1,1,0,1.217968,0.332552,1,,,204
11201,"Bush, Cori",22106,118,2023,MO,1,1,2020,1,73,0,-1,8,0,0,1,0,5329,0,0,0,0,0,0,0,0,1,0,2,220,201,100,"BUSH, Cori",B001224,1976,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.077883,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.077883,0.526108,0.148036,1,9,0,0,0,0,9,0,0,0,0,0.499337,0.155973,1,0.444425,0.402031,201
11202,"Calvert, Ken",29323,118,2023,CA,41,0,1992,0,52,0,0,52,0,1,0,0,2704,1,0,0,0,1,0,0,0,0,0,16,228,76,200,"CALVERT, Ken",C000059,1953,,0,0,0,0,0,17,3,1,1,0,4,0,4,3,0,1.665300,0,0,0,0,0,17,3,1,1,0,4,0,4,4,2,2.803297,1.519114,1.845350,3,21,5,3,5,2,21,4,3,5,0,1.512649,1.100916,2,0.499167,0.401718,21
11203,"Cammack, Kat",22107,118,2023,FL,3,0,2020,1,63,1,0,28,0,0,0,0,3969,0,0,0,0,1,0,0,0,0,0,2,228,114,200,"CAMMACK, Kat",C001039,1988,,0,0,0,0,0,17,4,4,1,0,1,1,1,1,0,1.186326,0,0,0,0,0,17,4,4,1,0,1,1,1,1,0,1.125739,1.194025,0.942811,2,18,2,5,5,0,18,2,5,5,0,1.220290,0.972167,2,0.251147,0.238493,117
11204,"Caraveo, Yadira",22306,118,2023,CO,8,1,2022,1,48,0,1,8,0,0,0,1,2304,0,0,1,0,0,0,0,0,1,1,1,220,65,100,"CARAVEO, Yadira",C001134,1980,,0,0,0,0,0,39,2,2,0,0,0,0,0,0,0,0.572143,0,0,0,0,0,39,2,2,0,0,0,0,0,0,0,0.565141,0.521898,1.082857,2,39,0,2,2,0,39,0,2,2,0,0.497015,1.151159,2,,,80
11205,"Carbajal, Salud",21709,118,2023,CA,24,1,2016,0,61,0,0,52,0,0,0,1,3721,0,0,0,0,0,0,0,1,1,0,4,220,78,100,"CARBAJAL, Salud",C001112,1964,,2,1,1,1,1,26,1,1,0,0,0,0,0,0,0,0.502724,2,1,1,1,1,26,1,1,0,0,0,0,0,0,0,0.437418,0.534528,0.818324,2,28,1,2,2,1,28,1,2,2,1,0.503981,0.997506,2,1.001307,1.235650,99
11206,"Cardenas, Tony",21309,118,2023,CA,29,1,2012,0,59,0,0,52,0,0,0,1,3481,0,0,1,1,0,0,0,1,1,0,6,220,185,100,"CÁRDENAS, Tony",C001097,1963,,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0.147112,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0.147112,0.542949,0.270950,1,17,0,0,0,0,17,0,0,0,0,0.508626,0.289235,1,2.394905,1.939264,183
11207,"Carey, Mike",22162,118,2023,OH,15,0,2021,0,57,0,0,15,0,0,0,0,3249,1,0,0,0,1,0,0,0,0,0,2,228,106,200,"CAREY, Mike",C001126,1971,,0,0,0,0,0,28,2,2,2,1,0,0,0,0,0,1.250327,0,0,0,0,0,28,2,3,3,2,0,0,0,0,0,1.342144,1.194025,1.124051,2,28,3,2,3,2,28,2,2,2,1,1.220290,1.024615,2,0.009427,0.009427,97
11208,"Carl, Jerry",22108,118,2023,AL,1,0,2020,0,84,1,0,7,0,0,0,0,7056,1,0,0,0,1,0,0,0,0,0,2,228,184,200,"CARL, Jerry L.",C001054,1958,,0,0,0,0,0,4,1,0,0,0,1,1,1,1,0,0.556687,0,0,0,0,0,4,1,0,0,0,1,1,1,1,0,0.523298,1.194025,0.438264,1,5,1,2,1,0,5,1,2,1,0,1.220290,0.456192,1,0.084844,0.084844,191
11209,"Carson, Andre",20757,118,2023,IN,7,1,2008,0,67,0,0,9,0,0,1,0,4489,0,0,0,0,0,0,0,1,1,0,8,220,197,100,"CARSON, AndrÃ©",C001072,1974,,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.088267,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.088267,0.551369,0.160087,1,11,0,0,0,0,11,0,0,0,0,0.513270,0.171971,1,0.416143,0.708065,197
11210,"Carter, Buddy",21513,118,2023,GA,1,0,2014,0,59,1,0,14,0,0,0,0,3481,0,0,1,0,1,0,0,0,0,0,5,228,17,200,"CARTER, Buddy",C001103,1957,,1,0,1,1,1,46,12,10,1,0,1,1,1,1,1,3.527372,1,0,1,1,1,46,12,12,3,2,1,1,1,1,1,3.634386,1.206655,3.011950,3,48,5,13,14,4,48,3,13,12,2,1.227256,2.874194,3,1.087205,0.989763,12
11211,"Carter, John",20356,118,2023,TX,31,0,2002,0,100,0,1,38,0,1,0,0,10000,1,0,0,0,1,0,0,0,0,0,11,228,63,200,"CARTER, John R.",C001051,1941,,0,0,0,0,0,7,0,0,0,0,2,0,2,2,1,1.878662,0,0,0,0,0,7,0,0,0,0,2,0,2,2,1,1.227216,1.498063,0.819202,2,9,2,0,2,1,9,2,0,2,1,1.501038,1.251576,2,0.056563,0.056563,111
11212,"Carter, Troy",22158,118,2023,LA,2,1,2021,0,77,-1,0,6,0,0,1,0,5929,0,0,1,0,0,0,0,1,1,0,2,220,57,100,"CARTER, Troy",C001125,1963,,2,1,1,1,1,16,2,2,1,0,0,0,0,0,0,0.639498,2,1,1,1,1,16,2,3,2,1,0,0,0,0,0,0.975038,0.526108,1.853303,3,18,3,3,4,2,18,2,3,3,1,0.499337,1.280695,2,0.154605,0.154605,33
11213,"Cartwright, Matt",21358,118,2023,PA,8,1,2012,0,51,0,0,17,0,0,0,0,2601,1,0,0,0,0,0,0,1,1,0,6,220,55,100,"CARTWRIGHT, Matt",C001090,1961,,0,0,0,0,0,40,3,1,1,0,0,0,0,0,0,0.685745,0,0,0,0,0,40,3,1,1,0,0,0,0,0,0,0.669051,0.542949,1.232253,2,40,1,3,1,0,40,1,3,1,0,0.508626,1.348231,2,2.299962,2.795226,65
11214,"Casar, Greg",22307,118,2023,TX,35,1,2022,0,73,0,-1,38,0,0,0,1,5329,0,0,0,0,0,0,0,1,1,1,1,220,209,100,"CASAR, Greg",C001131,1989,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.051922,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.051922,0.521898,0.099487,1,6,0,0,0,0,6,0,0,0,0,0.497015,0.104468,1,,,209
11215,"Case, Ed",20322,118,2023,HI,1,1,2018,0,74,0,0,2,0,0,0,0,5476,1,0,1,0,0,0,0,0,1,0,3,220,84,100,"CASE, Ed",C001055,1952,,0,0,0,0,0,21,2,1,1,0,0,0,0,0,0,0.463181,0,0,0,0,0,21,2,2,2,1,0,0,0,0,0,0.864028,0.530318,1.629263,3,21,2,2,2,1,21,1,2,1,0,0.501659,0.923299,2,0.638947,0.734461,41
11216,"Casten, Sean",21906,118,2023,IL,6,1,2018,0,54,-1,0,17,0,0,0,0,2916,0,0,0,0,0,0,0,1,1,0,3,220,139,100,"CASTEN, Sean",C001117,1971,,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0.276917,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0.276917,0.530318,0.522172,2,31,0,0,0,0,31,0,0,0,0,0.501659,0.552003,2,0.754085,0.643982,140
11217,"Castor, Kathy",20708,118,2023,FL,14,1,2006,1,57,0,0,28,0,0,0,0,3249,0,0,0,0,0,0,0,1,1,0,9,220,165,100,"CASTOR, Kathy",C001066,1966,,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0.199034,0,0,0,0,0,23,0,1,1,1,0,0,0,0,0,0.616575,0.555580,1.109787,2,23,1,0,1,1,23,0,0,0,0,0.515592,0.386030,1,0.594400,0.886322,74
11218,"Castro, Joaquin",21362,118,2023,TX,20,1,2012,0,68,0,0,38,0,0,0,1,4624,0,0,1,0,0,0,0,1,1,0,6,220,62,100,"CASTRO, Joaquin",C001091,1974,,0,0,0,0,0,30,2,2,1,0,0,0,0,0,0,0.600245,0,0,0,0,0,30,2,11,11,10,0,0,0,0,0,4.699780,0.542949,8.656026,3,30,11,2,11,10,30,1,2,2,0,0.508626,1.180132,2,1.252929,1.828550,1
11219,"Chavez-DeRemer, Lori",22308,118,2023,OR,5,0,2022,1,51,0,0,6,0,0,0,1,2601,0,0,0,0,1,0,0,0,0,1,1,228,91,200,"CHAVEZ-DEREMER, Lori",C001135,1968,,0,0,0,0,0,24,7,7,4,0,0,0,0,0,0,1.452904,0,0,0,0,0,24,7,7,4,2,0,0,0,0,0,1.913761,1.189814,1.608454,3,24,4,7,7,2,24,4,7,7,0,1.217968,1.192893,2,,,61
11220,"Cherfilus-McCormick, Sheila",22163,118,2023,FL,20,1,2022,1,72,0,0,28,0,0,1,0,5184,0,0,0,0,0,0,0,1,1,0,2,220,171,100,"CHERFILUS-MCCORMICK, Sheila",C001127,1979,,1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0.172372,1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0.172372,0.526108,0.327637,1,14,0,1,0,0,14,0,1,0,0,0.499337,0.345203,1,0.192699,0.180045,170
11221,"Chu, Judy",20955,118,2023,CA,28,1,2009,1,66,0,0,52,0,0,0,0,4356,1,0,1,1,0,0,0,1,1,0,6,220,93,100,"CHU, Judy",C001080,1953,,1,0,0,0,0,27,0,1,1,0,0,0,0,0,0,0.400546,1,0,0,0,0,27,0,1,1,0,0,0,0,0,0,0.383851,0.542949,0.706975,2,28,1,0,1,0,28,1,0,1,0,0.508626,0.787506,2,2.107978,2.132883,105
11222,"Cicilline, David",21172,118,2023,RI,1,1,2010,0,64,0,0,2,0,0,0,0,4096,0,0,1,0,0,0,0,1,1,0,7,220,214,100,"CICILLINE, David N.",C001084,1961,,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.019038,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.019038,0.547159,0.034794,1,3,0,0,0,0,3,0,0,0,0,0.510948,0.037260,1,3.138148,3.233258,214
11223,"Ciscomani, Juan",22309,118,2023,AZ,6,0,2022,0,51,0,1,9,0,0,0,1,2601,1,0,0,0,1,0,0,0,0,1,1,228,8,200,"CISCOMANI, Juan",C001133,1982,,2,0,0,0,0,24,11,5,2,0,5,3,5,4,1,4.356510,2,0,0,0,0,24,11,5,2,0,5,3,5,4,1,3.587391,1.189814,3.015085,3,31,6,14,10,1,31,6,14,10,1,1.217968,3.576869,3,,,13
11224,"Clark, Katherine",21375,118,2023,MA,5,1,2012,1,74,0,0,9,0,0,0,0,5476,0,0,1,0,0,0,1,1,1,0,6,220,208,100,"CLARK, Katherine M.",C001101,1963,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.051922,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.051922,0.542949,0.095630,1,6,0,0,0,0,6,0,0,0,0,0.508626,0.102083,1,0.103698,0.438014,208
11225,"Clarke, Yvette",20733,118,2023,NY,9,1,2006,1,81,-1,0,26,0,0,1,0,6561,0,0,0,0,0,0,0,1,1,0,9,220,89,100,"CLARKE, Yvette Diane",C001067,1964,,0,0,0,0,0,22,1,1,1,0,0,0,0,0,0,0.413691,0,0,0,0,0,22,1,1,1,0,0,0,0,0,0,0.396996,0.555580,0.714563,2,22,1,1,1,0,22,1,1,1,0,0.515592,0.802361,2,0.738937,0.683889,101
11226,"Cleaver, Emanuel",20517,118,2023,MO,5,1,2004,0,61,0,0,8,0,0,1,0,3721,0,0,0,0,0,0,0,1,1,0,10,220,113,100,"CLEAVER, Emanuel, II",C001061,1944,,1,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0.326744,1,0,1,1,1,24,1,1,0,0,0,0,0,0,0,0.406751,0.559790,0.726613,2,25,1,1,2,1,25,0,1,1,0,0.517914,0.630884,2,1.083820,1.308040,100
11227,"Cline, Ben",21908,118,2023,VA,6,0,2018,0,64,1,0,11,0,1,0,0,4096,1,0,1,0,1,0,0,1,0,0,3,228,152,200,"CLINE, Benjamin",C001118,1972,,0,0,0,0,0,12,2,2,0,0,1,1,1,1,0,0.802422,0,0,0,0,0,12,2,2,0,0,1,1,1,1,0,0.762031,1.464381,0.520377,2,13,1,3,3,0,13,1,3,3,0,1.482460,0.541277,2,0.075417,0.075417,162
11228,"Cloud, Michael",21758,118,2023,TX,27,0,2018,0,64,1,0,38,0,0,0,0,4096,1,0,0,0,1,0,0,0,0,0,4,228,188,200,"CLOUD, Michael",C001115,1975,,1,1,1,1,1,15,2,2,0,0,0,0,0,0,0,0.523129,1,1,1,1,1,15,2,2,0,0,0,0,0,0,0,0.454320,1.202445,0.377831,1,16,1,3,3,1,16,1,3,3,1,1.224934,0.427067,1,0.169688,0.504003,200
11229,"Clyburn, James",39301,118,2023,SC,6,1,1992,0,62,0,0,7,0,0,1,0,3844,0,0,0,0,0,0,1,1,1,0,16,220,172,100,"CLYBURN, James Enos",C000537,1940,,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0.169941,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0.169941,0.585051,0.290472,1,7,0,2,0,0,7,0,2,0,0,0.531847,0.319529,1,1.880610,1.558538,171
11230,"Clyde, Andrew",22110,118,2023,GA,9,0,2020,0,72,1,0,14,0,0,0,0,5184,1,0,0,0,1,0,0,1,0,0,2,228,21,200,"CLYDE, Andrew S.",C001116,1963,,0,0,0,0,0,12,1,1,0,0,4,3,4,4,1,3.083400,0,0,0,0,0,12,1,1,0,0,4,3,4,4,1,2.361675,1.194025,1.977911,3,16,4,4,5,1,16,4,4,5,1,1.220290,2.526777,3,0.277543,0.264889,36
11231,"Cohen, Steve",20748,118,2023,TN,9,1,2006,0,70,0,0,9,0,0,0,0,4900,0,0,1,0,0,0,0,1,1,0,9,220,8,100,"COHEN, Stephen",C001068,1949,,1,0,0,0,0,54,4,3,3,1,0,0,0,0,0,1.758507,1,0,0,0,0,54,4,4,4,2,0,0,0,0,0,1.833630,0.555580,3.300392,3,55,4,4,4,2,55,3,4,3,1,0.515592,3.410656,3,1.921663,1.959207,5
11232,"Cole, Tom",20344,118,2023,OK,4,0,2002,0,67,0,0,5,0,1,0,0,4489,1,1,1,0,1,0,0,0,0,0,11,228,6,200,"COLE, Tom",C001053,1949,,0,0,0,0,0,13,1,0,0,0,7,0,7,5,2,4.425794,0,0,0,0,0,13,1,0,0,0,7,0,7,6,6,5.413644,2.721054,1.989539,3,20,6,1,7,6,20,5,1,7,2,2.870345,1.541903,3,0.084844,0.084844,3
11233,"Collins, Mike",22310,118,2023,GA,10,0,2022,0,65,1,0,14,0,1,0,0,4225,0,0,0,0,1,0,0,0,0,1,1,228,96,200,"COLLINS, Mike",C001129,1967,,0,0,0,0,0,8,3,2,1,1,1,0,1,1,0,1.377052,0,0,0,0,0,8,3,2,1,1,1,0,1,1,0,1.031133,1.455961,0.708215,2,9,2,3,3,1,9,2,3,3,1,1.477816,0.931816,2,,,131
11234,"Comer, James",21565,118,2023,KY,1,0,2016,0,75,1,0,6,0,0,0,0,5625,0,1,1,0,1,0,0,0,0,0,4,228,12,200,"COMER, James",C001108,1972,,0,0,0,0,0,9,4,4,2,0,5,3,5,5,1,3.969025,0,0,0,0,0,9,4,4,2,0,5,3,5,5,1,3.177021,2.425436,1.309876,2,14,7,7,9,1,14,7,7,9,1,2.594241,1.529937,3,0.910150,0.820492,16
11235,"Connolly, Gerald",20952,118,2023,VA,11,1,2008,0,67,0,0,11,0,0,0,0,4489,0,0,0,0,0,0,0,1,1,0,8,220,22,100,"CONNOLLY, Gerald E. (Gerry)",C001078,1950,,1,0,0,0,0,39,4,4,3,0,0,0,0,0,0,1.126480,1,0,0,0,0,39,4,4,3,0,0,0,0,0,0,1.072895,0.551369,1.945874,3,40,3,4,4,0,40,3,4,4,0,0.513270,2.194712,3,8.924465,7.142094,29
11236,"Correa, Lou",21711,118,2023,CA,46,1,1996,0,62,0,0,52,0,0,0,1,3844,0,0,1,1,0,0,0,0,1,0,4,220,52,100,"CORREA, Jose Luis",C001110,1958,,4,1,1,1,1,10,3,3,1,0,0,0,0,0,0,0.708363,4,1,1,1,1,10,3,3,1,0,0,0,0,0,0,0.622860,0.534528,1.165252,2,14,2,4,4,1,14,2,4,4,1,0.503981,1.405534,2,0.767497,1.176101,71
11237,"Costa, Jim",20501,118,2023,CA,21,1,2004,0,54,0,0,52,0,0,0,1,2916,0,0,1,1,0,0,0,0,1,0,10,220,179,100,"COSTA, Jim",C001059,1952,,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0.155766,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0.155766,0.559790,0.278258,1,18,0,0,0,0,18,0,0,0,0,0.517914,0.300756,1,0.976139,0.552166,178
11238,"Courtney, Joe",20706,118,2023,CT,2,1,2006,0,58,0,0,5,0,0,0,0,3364,0,0,1,0,0,0,0,1,1,0,9,220,147,100,"COURTNEY, Joe",C001069,1953,,0,0,0,0,0,16,1,1,0,0,0,0,0,0,0,0.255784,0,0,0,0,0,16,1,1,0,0,0,0,0,0,0,0.252282,0.555580,0.454089,1,16,0,1,1,0,16,0,1,1,0,0.515592,0.496097,1,1.054232,1.261366,148
